name	description	leaves
Otu000001	OTU mapped to Bacteroides dorei	
Otu000002	OTU mapped to Prevotella copri	
Otu000003	OTU mapped to a clade within genus Alistipes,including representatives of species Alistipes finegoldii, Alistipes onderdonkii, Alistipes shahii	
Otu000004	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus, Bacteroides uniformis	
Otu000005	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Faecalibacterium, Gemmiger	
Otu000006	OTU mapped to a clade within family Prevotellaceae,including representatives of genus Hallella, Prevotella	
Otu000007	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides dorei, Bacteroides sartorii, Bacteroides massiliensis, Bacteroides chinchillae	
Otu000008	OTU mapped to Bacteroides ovatus	
Otu000009	OTU mapped to Faecalibacterium prausnitzii	
Otu000010	OTU mapped to Bacteroides eggerthii	
Otu000011	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000012	OTU mapped to Bacteroides dorei	
Otu000013	OTU mapped to Bacteroides ovatus	
Otu000014	OTU mapped to Bacteroides dorei	
Otu000015	OTU mapped to Akkermansia muciniphila	
Otu000016	OTU mapped to Bacteroides helcogenes	
Otu000017	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Escherichia, Shigella	
Otu000018	OTU mapped to Bacteroides caccae	
Otu000019	OTU mapped to a clade within family Lachnospiraceae,including representatives of genus Marvinbryantia, Robinsoniella, Blautia	
Otu000020	OTU mapped to Faecalibacterium prausnitzii	
Otu000021	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides faecis, Bacteroides thetaiotaomicron	
Otu000023	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus	
Otu000024	OTU mapped to Sutterella wadsworthensis	
Otu000025	OTU mapped to Dialister invisus	
Otu000026	OTU mapped to a clade within genus Bifidobacterium,including representatives of species Bifidobacterium adolescentis, Bifidobacterium stercoris	
Otu000027	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides xylanisolvens, Bacteroides ovatus	
Otu000028	OTU mapped to Parasutterella excrementihominis	
Otu000029	OTU mapped to a clade within phylum Bacteroidetes or Deinococcus-Thermus or Chlorobi or Ignavibacteriae or Proteobacteria	
Otu000030	OTU mapped to Faecalibacterium prausnitzii	
Otu000031	OTU mapped to Clostridium saccharogumia	
Otu000032	OTU mapped to Bacteroides cellulosilyticus	
Otu000034	OTU mapped to Alistipes onderdonkii	
Otu000035	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides caccae, Bacteroides acidifaciens	
Otu000037	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium aerotolerans, Clostridium algidixylanolyticum, Clostridium xylanolyticum	
Otu000038	OTU mapped to a clade within family Peptococcaceae,including representatives of genus Dehalobacter, Syntrophobotulus	
Otu000039	OTU mapped to Bilophila wadsworthia	
Otu000040	OTU mapped to Phascolarctobacterium faecium	
Otu000042	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
Otu000043	OTU mapped to a clade within genus Parabacteroides,including representatives of species Parabacteroides merdae, Parabacteroides johnsonii, Parabacteroides distasonis	
Otu000044	OTU mapped to Roseburia inulinivorans	
Otu000045	OTU mapped to a clade within family Lachnospiraceae,including representatives of genus Marvinbryantia, Robinsoniella, Blautia	
Otu000046	OTU mapped to Akkermansia muciniphila	
Otu000047	OTU mapped to a clade within genus Sutterella,including representatives of species Sutterella parvirubra, Sutterella stercoricanis	
Otu000048	OTU mapped to Sutterella stercoricanis	
Otu000049	OTU mapped to Anaerostipes butyraticus	
Otu000050	OTU mapped to Bacteroides helcogenes	
Otu000051	OTU mapped to Eubacterium eligens	
Otu000053	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus, Bacteroides uniformis	
Otu000054	OTU mapped to Ruminococcus bromii	
Otu000056	OTU mapped to [Ruminococcus] gnavus	
Otu000057	OTU mapped to a clade within genus Alistipes,including representatives of species Alistipes finegoldii, Alistipes shahii	
Otu000058	OTU mapped to a clade within genus Bifidobacterium,including representatives of species Bifidobacterium merycicum, Bifidobacterium ruminantium, Bifidobacterium adolescentis, Bifidobacterium stercoris, Bifidobacterium angulatum, Bifidobacterium catenulatum, Bifidobacterium dentium, Bifidobacterium pseudocatenulatum	
Otu000059	OTU mapped to Alistipes shahii	
Otu000060	OTU mapped to Lactobacillus rogosae	
Otu000062	OTU mapped to Roseburia hominis	
Otu000063	OTU mapped to Haemophilus parainfluenzae	
Otu000064	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides sartorii, Bacteroides massiliensis, Bacteroides salanitronis, Bacteroides chinchillae, Bacteroides coprophilus, Bacteroides paurosaccharolyticus, Bacteroides plebeius, Bacteroides barnesiae, Bacteroides coprocola, Bacteroides dorei	
Otu000065	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides salyersiae, Bacteroides nordii	
Otu000066	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae	
Otu000069	OTU mapped to Bacteroides dorei	
Otu000070	OTU mapped to Bacteroides caccae	
Otu000071	OTU mapped to Eubacterium hallii	
Otu000072	OTU mapped to Oscillibacter valericigenes	
Otu000073	OTU mapped to Dorea longicatena	
Otu000074	OTU mapped to Clostridium lactatifermentans	
Otu000075	OTU mapped to Oscillibacter valericigenes	
Otu000077	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Clostridiaceae	
Otu000080	OTU mapped to Ruminococcus albus	
Otu000081	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Hafnia, Obesumbacterium	
Otu000082	OTU mapped to Parabacteroides distasonis	
Otu000083	OTU mapped to a clade within genus Desulfovibrio,including representatives of species Desulfovibrio desulfuricans, Desulfovibrio piger, Desulfovibrio intestinalis	
Otu000084	OTU mapped to Oscillibacter valericigenes	
Otu000085	OTU mapped to Coprococcus eutactus	
Otu000086	OTU mapped to Coprococcus comes	
Otu000088	OTU mapped to a clade within genus Streptococcus,including representatives of species Streptococcus criceti, Streptococcus orisuis	
Otu000089	OTU mapped to Paraprevotella clara	
Otu000090	OTU mapped to Clostridium lactatifermentans	
Otu000091	OTU mapped to [Ruminococcus] torques	
Otu000092	OTU mapped to Ruminococcus lactaris	
Otu000093	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Oscillospiraceae	
Otu000094	OTU mapped to Oscillibacter valericigenes	
Otu000095	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000097	OTU mapped to Oscillibacter valericigenes	
Otu000098	OTU mapped to a clade within phylum Bacteroidetes or Deinococcus-Thermus or Chlorobi or Ignavibacteriae or Proteobacteria	
Otu000099	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus	
